left,right,same_location,same_event,level_corr,diff_corr,peak_ratio
austin/design_0369/austin_p5u_inflow_03,greensboro/design_0007/greensboro_rural_inflow_03,False,False,-0.07637715547970002,-2.3464703036021398e-05,5.732830343925122
austin/design_0369/austin_p5u_inflow_04,greensboro/design_0007/greensboro_rural_inflow_02,False,False,-0.07820333010400492,-2.924314562308376e-05,47.66180315285233
austin/design_0369/austin_p5u_inflow_07,greensboro/design_0007/greensboro_rural_inflow_03,False,False,-0.07837075597249533,-2.6146130093416898e-05,77.08482801922838
austin/design_0369/austin_p5u_inflow_05,greensboro/design_0398/greensboro_rural_inflow_02,False,False,-0.0793975431008836,-0.015260911287251261,2.299160941978409
austin/design_0369/austin_p5u_inflow_03,greensboro/design_0007/greensboro_rural_inflow_01,False,False,-0.08003241864491197,-4.8167675961750124e-05,11.111093100739001
austin/design_0369/austin_p5u_inflow_02,greensboro/design_0398/greensboro_rural_inflow_02,False,False,-0.08100666983790947,-0.02159275965257802,1.898035299681072
austin/design_0369/austin_p5u_inflow_08,greensboro/design_0398/greensboro_rural_inflow_02,False,False,-0.0818644781610238,-0.015077204447104595,11.14752383418918
austin/design_0369/austin_p5u_inflow_07,greensboro/design_0007/greensboro_rural_inflow_01,False,False,-0.08214615039073346,-4.237451503793138e-05,149.40206658717892
austin/design_0369/austin_p5u_inflow_04,greensboro/design_0007/greensboro_rural_inflow_03,False,False,-0.0827441435325101,-1.931490529433027e-05,24.411917860526586
austin/design_0369/austin_p5u_inflow_02,greensboro/design_0007/greensboro_rural_inflow_02,False,False,-0.0830769006886384,-2.9001041166571348e-05,6.446000781604166
austin/design_0369/austin_p5u_inflow_03,greensboro/design_0398/greensboro_rural_inflow_02,False,False,-0.08470198592904243,-0.022465114702118046,1.0930926668986303
austin/design_0369/austin_p5u_inflow_04,greensboro/design_0007/greensboro_rural_inflow_01,False,False,-0.08685002357035257,-5.94532856051216e-05,47.3139925383159
austin/design_0369/austin_p5u_inflow_02,greensboro/design_0007/greensboro_rural_inflow_03,False,False,-0.08778297862047764,-8.422331117698286e-05,3.3015796969484543
austin/design_0369/austin_p5u_inflow_07,greensboro/design_0398/greensboro_rural_inflow_02,False,False,-0.09073432065956277,-0.02532803678794735,12.301068514533888
austin/design_0369/austin_p5u_inflow_02,greensboro/design_0007/greensboro_rural_inflow_01,False,False,-0.09222442514153101,-0.00021784046045376392,6.398961279427508
austin/design_0369/austin_p5u_inflow_02,greensboro/design_0398/greensboro_rural_inflow_01,False,False,-0.09232214165031061,-0.008550574561352511,3.5598470217660707
austin/design_0369/austin_p5u_inflow_01,greensboro/design_0007/greensboro_rural_inflow_02,False,False,-0.09273110319189208,0.00014560330346178736,17.6815381087345
austin/design_0369/austin_p5u_inflow_04,greensboro/design_0398/greensboro_rural_inflow_02,False,False,-0.09282506634199243,-0.03185281879631827,3.8956132080700074
austin/design_0369/austin_p5u_inflow_01,greensboro/design_0398/greensboro_rural_inflow_02,False,False,-0.09747975735346515,-0.023748248472345787,1.4451915126769
austin/design_0369/austin_p5u_inflow_01,greensboro/design_0007/greensboro_rural_inflow_03,False,False,-0.0977878333266246,0.00010308077300830378,9.05631401678024
austin/design_0369/austin_p5u_inflow_01,greensboro/design_0007/greensboro_rural_inflow_01,False,False,-0.10273166941319832,-7.006510405707799e-05,17.55250760152046
austin/design_0369/austin_p5u_inflow_02,greensboro/design_0398/greensboro_rural_inflow_03,False,False,-0.10333138597909518,-0.0032157447023070363,8.815012677464878
austin/design_0369/austin_p5u_inflow_01,greensboro/design_0398/greensboro_rural_inflow_01,False,False,-0.1078370056192263,-0.008342942644511872,1.2977817056175607
austin/design_0369/austin_p5u_inflow_01,greensboro/design_0398/greensboro_rural_inflow_03,False,False,-0.11657134142292655,-0.0020259363930612687,3.2136106179993447
austin/design_0369/austin_p5u_inflow_04,greensboro/design_0398/greensboro_rural_inflow_01,False,False,-0.12202469922027162,-0.01929829136827406,2.0770587437076062
austin/design_0369/austin_p5u_inflow_03,greensboro/design_0398/greensboro_rural_inflow_01,False,False,-0.12898937988787462,-0.012901388880646522,2.0501424159114787
austin/design_0369/austin_p5u_inflow_07,greensboro/design_0398/greensboro_rural_inflow_01,False,False,-0.13095931445237066,-0.011949566465755993,6.55867011184027
austin/design_0369/austin_p5u_inflow_05,greensboro/design_0398/greensboro_rural_inflow_01,False,False,-0.13206151457437157,-0.003920759149810939,1.2258640893388848
austin/design_0369/austin_p5u_inflow_06,greensboro/design_0398/greensboro_rural_inflow_01,False,False,-0.13266449907503708,0.0008636321230626549,1.0347559125500347
austin/design_0369/austin_p5u_inflow_04,greensboro/design_0398/greensboro_rural_inflow_03,False,False,-0.13378785122686085,-0.012393668941246404,1.1921827301951067
austin/design_0369/austin_p5u_inflow_08,greensboro/design_0398/greensboro_rural_inflow_01,False,False,-0.13578247910072874,-0.005925980643231638,5.943624434409063
austin/design_0369/austin_p5u_inflow_06,greensboro/design_0398/greensboro_rural_inflow_03,False,False,-0.13799806136415857,0.003581720527343894,2.393060560288624
austin/design_0369/austin_p5u_inflow_03,greensboro/design_0398/greensboro_rural_inflow_03,False,False,-0.13856847172835823,-0.008052630287311393,5.076631460950383
austin/design_0369/austin_p5u_inflow_05,greensboro/design_0398/greensboro_rural_inflow_03,False,False,-0.1397829473558454,0.0005298950015487579,2.019990295322542
austin/design_0369/austin_p5u_inflow_07,greensboro/design_0398/greensboro_rural_inflow_03,False,False,-0.13990522250975565,-0.005160043685509385,2.6486476104643986
austin/design_0369/austin_p5u_inflow_08,greensboro/design_0398/greensboro_rural_inflow_03,False,False,-0.14346520861815673,-0.0015930101725289032,2.400268101192581
